pid,horizon_sec,acc,n_used,q25,q50,q75
1,5,1.0,6,15.052371134020618,38.81248597155161,53.10321284092392
1,10,1.0,11,15.052371134020618,38.81248597155161,53.10321284092392
1,15,1.0,16,15.052371134020618,38.81248597155161,53.10321284092392
1,20,1.0,21,15.052371134020618,38.81248597155161,53.10321284092392
2,5,1.0,6,15.068030797337856,39.495946757144715,53.36409239201357
2,10,1.0,11,15.068030797337856,39.495946757144715,53.36409239201357
2,15,1.0,16,15.068030797337856,39.495946757144715,53.36409239201357
2,20,1.0,21,15.068030797337856,39.495946757144715,53.36409239201357
3,5,1.0,6,26.16556440036539,46.90508678063421,78.9287955108965
3,10,1.0,11,26.16556440036539,46.90508678063421,78.9287955108965
3,15,1.0,16,26.16556440036539,46.90508678063421,78.9287955108965
3,20,1.0,21,26.16556440036539,46.90508678063421,78.9287955108965
4,5,1.0,6,26.16556440036539,46.90508678063421,78.9287955108965
4,10,1.0,11,26.16556440036539,46.90508678063421,78.9287955108965
4,15,1.0,16,26.16556440036539,46.90508678063421,78.9287955108965
4,20,1.0,21,26.16556440036539,46.90508678063421,78.9287955108965
5,5,1.0,6,15.292371134020618,39.97594675714471,78.9287955108965
5,10,1.0,11,15.292371134020618,39.97594675714471,78.9287955108965
5,15,1.0,16,15.292371134020618,39.97594675714471,78.9287955108965
5,20,1.0,21,15.292371134020618,39.97594675714471,78.9287955108965
6,5,1.0,6,15.548030797337857,42.78854756622732,78.90791595980684
6,10,1.0,11,15.548030797337857,42.78854756622732,78.90791595980684
6,15,1.0,16,15.548030797337857,42.78854756622732,78.90791595980684
6,20,1.0,21,15.548030797337857,42.78854756622732,78.90791595980684
7,5,1.0,6,15.532371134020618,45.986731045282525,78.8870364087172
7,10,1.0,11,15.532371134020618,45.986731045282525,78.8870364087172
7,15,1.0,16,15.532371134020618,45.986731045282525,78.8870364087172
7,20,1.0,21,15.532371134020618,45.986731045282525,78.8870364087172
8,5,1.0,6,15.532371134020618,46.33112880073078,78.90791595980684
8,10,1.0,11,15.532371134020618,46.33112880073078,78.90791595980684
8,15,1.0,16,15.532371134020618,46.33112880073078,78.90791595980684
8,20,1.0,21,15.532371134020618,46.33112880073078,78.90791595980684
9,5,1.0,6,15.788030797337857,42.78854756622732,78.48011483753099
9,10,1.0,11,15.788030797337857,42.78854756622732,78.48011483753099
9,15,1.0,16,15.788030797337857,42.78854756622732,78.48011483753099
9,20,1.0,21,15.788030797337857,42.78854756622732,78.48011483753099
10,5,1.0,6,23.671491582930965,46.07024924964114,78.8870364087172
10,10,1.0,11,23.671491582930965,46.07024924964114,78.8870364087172
10,15,1.0,16,23.671491582930965,46.07024924964114,78.8870364087172
10,20,1.0,21,23.671491582930965,46.07024924964114,78.8870364087172
11,5,1.0,6,23.671491582930965,46.07024924964114,78.8870364087172
11,10,1.0,11,23.671491582930965,46.07024924964114,78.8870364087172
11,15,1.0,16,23.671491582930965,46.07024924964114,78.8870364087172
11,20,1.0,21,23.671491582930965,46.07024924964114,78.8870364087172
