model,test_pid,test_acc_clean,q25,q50,q75,n_test
SVM,1,0.9304040404040405,24.918126397056668,40.08182662395338,53.697665447289644,9900
SVM,2,0.9934444444444445,24.918126397056668,40.08182662395338,55.57007185764861,9000
SVM,3,0.9961728395061729,31.316236797683043,52.481343363375736,79.94536124570098,8100
SVM,4,0.9962962962962963,31.316236797683043,52.481343363375736,79.94536124570098,8100
SVM,5,0.9909876543209877,24.918126397056668,40.82436037431646,79.94536124570098,8100
SVM,6,0.9892046356564534,24.918126397056668,49.944547279975424,79.94536124570098,6299
SVM,7,0.7445123645457071,24.918126397056668,52.481343363375736,79.94536124570098,7198
SVM,8,0.3765277777777778,24.918126397056668,52.481343363375736,79.94536124570098,7200
SVM,9,0.9966666666666667,24.918126397056668,51.01036821256728,79.6392050616073,4500
SVM,10,0.8161111111111111,25.839233518414837,52.481343363375736,79.94536124570098,3600
SVM,11,0.4911111111111111,25.225091158604613,52.481343363375736,79.94536124570098,3600
RF,1,0.9994949494949495,24.918126397056668,40.08182662395338,53.697665447289644,9900
RF,2,0.9993333333333333,24.918126397056668,40.08182662395338,55.57007185764861,9000
RF,3,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
RF,4,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
RF,5,0.9988888888888889,24.918126397056668,40.82436037431646,79.94536124570098,8100
RF,6,0.9976186696301,24.918126397056668,49.944547279975424,79.94536124570098,6299
RF,7,0.7497916087802168,24.918126397056668,52.481343363375736,79.94536124570098,7198
RF,8,0.9388888888888889,24.918126397056668,52.481343363375736,79.94536124570098,7200
RF,9,0.9966666666666667,24.918126397056668,51.01036821256728,79.6392050616073,4500
RF,10,0.8741666666666666,25.839233518414837,52.481343363375736,79.94536124570098,3600
RF,11,0.6941666666666667,25.225091158604613,52.481343363375736,79.94536124570098,3600
XGBoost,1,0.9994949494949495,24.918126397056668,40.08182662395338,53.697665447289644,9900
XGBoost,2,0.9993333333333333,24.918126397056668,40.08182662395338,55.57007185764861,9000
XGBoost,3,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
XGBoost,4,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
XGBoost,5,0.9988888888888889,24.918126397056668,40.82436037431646,79.94536124570098,8100
XGBoost,6,0.945546912208287,24.918126397056668,49.944547279975424,79.94536124570098,6299
XGBoost,7,0.9085857182550708,24.918126397056668,52.481343363375736,79.94536124570098,7198
XGBoost,8,0.9702777777777778,24.918126397056668,52.481343363375736,79.94536124570098,7200
XGBoost,9,0.9966666666666667,24.918126397056668,51.01036821256728,79.6392050616073,4500
XGBoost,10,0.8463888888888889,25.839233518414837,52.481343363375736,79.94536124570098,3600
XGBoost,11,0.8094444444444444,25.225091158604613,52.481343363375736,79.94536124570098,3600
LightGBM,1,0.9994949494949495,24.918126397056668,40.08182662395338,53.697665447289644,9900
LightGBM,2,0.9993333333333333,24.918126397056668,40.08182662395338,55.57007185764861,9000
LightGBM,3,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
LightGBM,4,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
LightGBM,5,0.9988888888888889,24.918126397056668,40.82436037431646,79.94536124570098,8100
LightGBM,6,0.9769804730909668,24.918126397056668,49.944547279975424,79.94536124570098,6299
LightGBM,7,0.7447902195054181,24.918126397056668,52.481343363375736,79.94536124570098,7198
LightGBM,8,0.9944444444444445,24.918126397056668,52.481343363375736,79.94536124570098,7200
LightGBM,9,0.9966666666666667,24.918126397056668,51.01036821256728,79.6392050616073,4500
LightGBM,10,0.55,25.839233518414837,52.481343363375736,79.94536124570098,3600
LightGBM,11,0.6961111111111111,25.225091158604613,52.481343363375736,79.94536124570098,3600
XGB+LGB_Ensemble,1,0.9994949494949495,24.918126397056668,40.08182662395338,53.697665447289644,9900
XGB+LGB_Ensemble,2,0.9993333333333333,24.918126397056668,40.08182662395338,55.57007185764861,9000
XGB+LGB_Ensemble,3,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
XGB+LGB_Ensemble,4,1.0,31.316236797683043,52.481343363375736,79.94536124570098,8100
XGB+LGB_Ensemble,5,0.9988888888888889,24.918126397056668,40.82436037431646,79.94536124570098,8100
XGB+LGB_Ensemble,6,0.9650738212414669,24.918126397056668,49.944547279975424,79.94536124570098,6299
XGB+LGB_Ensemble,7,0.7932759099749931,24.918126397056668,52.481343363375736,79.94536124570098,7198
XGB+LGB_Ensemble,8,0.9908333333333333,24.918126397056668,52.481343363375736,79.94536124570098,7200
XGB+LGB_Ensemble,9,0.9966666666666667,24.918126397056668,51.01036821256728,79.6392050616073,4500
XGB+LGB_Ensemble,10,0.7419444444444444,25.839233518414837,52.481343363375736,79.94536124570098,3600
XGB+LGB_Ensemble,11,0.715,25.225091158604613,52.481343363375736,79.94536124570098,3600
